"Box Number","Quadrant"
39102,"North-East"
39106,"North-East"
39107,"North-East"
39108,"North-East"
39109,"North-East"
39110,"North-East"
39111,"North-East"
39112,"North-West"
39113,"North-West"
39115,"North-West"
39117,"North-West"
39118,"North-West"
39119,"North-West"
39120,"North-West"
39121,"North-West"
39122,"North-West"
39123,"North-West"
39124,"North-West"
39125,"North-West"
39128,"North-West"
39129,"North-West"
40101,"South-East"
40105,"South-East"
40106,"South-East"
40107,"South-East"
40108,"South-East"
40109,"South-East"
40110,"South-East"
40111,"South-East"
40112,"South-West"
40113,"South-West"
40114,"South-West"
40115,"South-West"
40116,"South-West"
40117,"South-West"
40118,"South-West"
40119,"South-West"
40120,"South-West"
40122,"South-West"
40123,"South-West"
41102,"North-East"
41104,"North-East"
41105,"North-East"
41106,"North-East"
41107,"North-East"
41108,"North-East"
41109,"North-East"
41110,"North-East"
41111,"North-West"
41112,"North-West"
41114,"North-West"
41115,"North-West"
41116,"North-West"
41117,"North-West"
41118,"North-West"
41120,"North-West"
41121,"North-West"
41122,"North-West"
41123,"North-West"
41124,"North-West"
41125,"North-West"
41126,"North-West"
42101,"South-East"
42102,"South-East"
42104,"South-East"
42105,"South-East"
42106,"South-East"
42107,"South-East"
42108,"South-East"
42109,"South-East"
42110,"South-East"
42111,"South-West"
42112,"South-West"
42113,"South-West"
42114,"South-West"
42115,"South-West"
42116,"South-West"
42117,"South-West"
42118,"South-West"
42119,"South-West"
42120,"South-West"
42122,"South-West"
42123,"South-West"
42124,"South-West"
43101,"North-East"
43105,"North-East"
43106,"North-East"
43107,"North-East"
43108,"North-East"
43109,"North-East"
43110,"North-East"
43111,"North-East"
43112,"North-West"
43113,"North-West"
43115,"North-West"
43117,"North-West"
43118,"North-West"
43119,"North-West"
43120,"North-West"
43121,"North-West"
43122,"North-West"
43123,"North-West"
43124,"North-West"
44101,"South-East"
44104,"South-East"
44105,"South-East"
44106,"South-East"
44107,"South-East"
44108,"South-East"
44109,"South-East"
44110,"South-East"
44111,"South-East"
44112,"South-West"
44113,"South-West"
44114,"South-West"
44115,"South-West"
44116,"South-West"
44117,"South-West"
44118,"South-West"
44119,"South-West"
44120,"South-West"
44121,"South-West"
44122,"South-West"
44123,"South-West"
44124,"South-West"
44125,"South-West"
45102,"North-East"
45105,"North-East"
45106,"North-East"
45107,"North-East"
45108,"North-East"
45109,"North-East"
45110,"North-East"
45111,"North-East"
45112,"North-East"
45113,"North-East"
45114,"North-West"
45115,"North-West"
45117,"North-West"
45118,"North-West"
45119,"North-West"
45120,"North-West"
45122,"North-West"
45123,"North-West"
45124,"North-West"
45125,"North-West"
46102,"South-East"
46104,"South-East"
46105,"South-East"
46106,"South-East"
46107,"South-East"
46108,"South-East"
46109,"South-East"
46110,"South-East"
46111,"South-East"
46112,"South-East"
46113,"South-West"
46114,"South-West"
46115,"South-West"
46116,"South-West"
46117,"South-West"
46118,"South-West"
46119,"South-West"
46120,"South-West"
46121,"South-West"
46122,"South-West"
46124,"South-West"
47102,"North-East"
47103,"North-East"
47104,"North-East"
47105,"North-East"
47106,"North-East"
47107,"North-East"
47108,"North-East"
47109,"North-East"
47110,"North-East"
47111,"North-East"
47112,"North-West"
47113,"North-West"
47115,"North-West"
47116,"North-West"
47117,"North-West"
47118,"North-West"
47120,"North-West"
47121,"North-West"
47122,"North-West"
48101,"South-East"
48102,"South-East"
48103,"South-East"
48104,"South-East"
48105,"South-East"
48106,"South-East"
48107,"South-East"
48108,"South-East"
48109,"South-East"
48110,"South-East"
48111,"South-East"
48112,"South-West"
48113,"South-West"
48114,"South-West"
48115,"South-West"
48116,"South-West"
48117,"South-West"
48119,"South-West"
48120,"South-West"
48122,"South-West"
